tracedir, tracefile, reid_rate, -, TP-TV_syn, TP-MSE_syn, TP-JS_syn, TP-TV_tra, TP-MSE_tra, TP-JS_tra, TP-TV_uni, TP-MSE_uni, TP-JS_uni, -, TP-TV-Top50_syn, TP-MSE-Top50_syn, TP-JS-Top50_syn, TP-TV-Top50_tra, TP-MSE-Top50_tra, TP-JS-Top50_tra, TP-TV-Top50_uni, TP-MSE-Top50_uni, TP-JS-Top50_uni, -, VF-TV_syn, VF-TV_tra, VF-TV_uni, -, TM-EMD-Y_syn, TM-EMD-X_syn, TM-EMD-Y_tra, TM-EMD-X_tra, TM-EMD-Y_uni, TM-EMD-X_uni, -, CP-TV_syn, CP-MSE_syn, CP-JS_syn, CP-TV_uni, CP-MSE_uni, CP-JS_uni,
SGLT_TK,data_c100_0.25_0.75_0.05_4_syntraces.csv,0.5542,-,0.45118,0.0065916,0.203176964,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.150096667,0.003027507,0.049237473,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,0.739717826,0.758192194,0.589243225,0.62669924,6.267082755,6.255796163,-,0.466866667,0.012985333,0.19401302,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c100_0.25_0.75_0.1_4_syntraces.csv,0.452,-,0.4617,0.007028293,0.210602425,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.154873333,0.003234187,0.052664983,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,0.776210929,0.799622424,0.589243225,0.62669924,6.267082755,6.255796163,-,0.5452,0.016724889,0.254091502,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c100_0.25_0.75_0.15_4_syntraces.csv,0.3758,-,0.468226667,0.007265493,0.215437197,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.158116667,0.00340148,0.054948532,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,0.77379706,0.785562098,0.589243225,0.62669924,6.267082755,6.255796163,-,0.593533333,0.019950933,0.288105368,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c100_0.25_0.75_0.2_4_syntraces.csv,0.3076,-,0.473053333,0.007548053,0.218377797,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.160716667,0.003542147,0.056941369,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,0.823078547,0.827820578,0.589243225,0.62669924,6.267082755,6.255796163,-,0.641133333,0.022036267,0.323477053,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c100_0.25_0.75_0.3_4_syntraces.csv,0.2072,-,0.478613333,0.0077672,0.223088288,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.16242,0.00363528,0.058341335,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,0.908840576,0.938448224,0.589243225,0.62669924,6.267082755,6.255796163,-,0.710066667,0.026449156,0.387165089,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c100_0.25_0.75_0.4_4_syntraces.csv,0.1492,-,0.48344,0.008081387,0.226229871,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.165016667,0.003782547,0.060102738,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,0.9043513,0.919264185,0.589243225,0.62669924,6.267082755,6.255796163,-,0.724,0.028033511,0.402528037,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c100_0.25_0.75_0.6_4_syntraces.csv,0.0912,-,0.48918,0.008383653,0.23037396,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.167483333,0.003962947,0.062041691,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,0.931765803,0.974692199,0.589243225,0.62669924,6.267082755,6.255796163,-,0.7666,0.034653778,0.44721983,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c100_0.25_0.75_1_4_syntraces.csv,0.0446,-,0.49348,0.008590187,0.232868458,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.16865,0.004064333,0.062357161,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,0.97675666,1.016760235,0.589243225,0.62669924,6.267082755,6.255796163,-,0.7834,0.037629956,0.469822519,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c150_0.25_0.75_0_4_syntraces.csv,0.8496,-,0.42414,0.005282933,0.185246482,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.135443333,0.0023426,0.039681336,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,0.646652218,0.695447442,0.589243225,0.62669924,6.267082755,6.255796163,-,0.241933333,0.004114311,0.071171488,0.777,0.027746222,0.433719424,-
SGLT_TK,data_c150_0.25_0.75_0.05_4_syntraces.csv,0.7094,-,0.44988,0.006034853,0.200604568,0.385533333,0.0040528,0.164669242,0.534933333,0.005657067,0.251005828,-,0.147236667,0.002806093,0.046361799,0.115033333,0.001654,0.030972308,0.1945,0.004034767,0.066940081,-,-,-,-,-,0.808238858,0.816249372,0.589243225,0.62669924,6.267082755,6.255796163,-,0.378666667,0.00924,0.144361988,0.777,0.027746222,0.433719424,-
